MM/DD/YYYY,ID,YEAR,MONTH,DAY,TMAX,TMAX_FLAGS,TMIN,TMIN_FLAGS,PRCP,PRCP_FLAGS,SNOW,SNOW_FLAGS,SNWD,SNWD_FLAGS,WT03,WT03_FLAGS,DAPR,DAPR_FLAGS,MDPR,MDPR_FLAGS
1999-05-01,USC00047741,1999,05,1,206.0,__0,89.0,__0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan,nan,nan
1999-05-02,USC00047741,1999,05,2,189.0,__0,133.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
1999-05-03,USC00047741,1999,05,3,178.0,__0,133.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
1999-05-04,USC00047741,1999,05,4,206.0,__0,133.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
1999-05-05,USC00047741,1999,05,5,222.0,__0,100.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
1999-05-06,USC00047741,1999,05,6,239.0,__0,117.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
1999-05-07,USC00047741,1999,05,7,211.0,__0,139.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
1999-05-08,USC00047741,1999,05,8,172.0,__0,144.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
1999-05-09,USC00047741,1999,05,9,206.0,__0,128.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
1999-05-10,USC00047741,1999,05,10,194.0,__0,128.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
1999-05-11,USC00047741,1999,05,11,217.0,__0,133.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
1999-05-12,USC00047741,1999,05,12,189.0,__0,144.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
1999-05-13,USC00047741,1999,05,13,178.0,__0,139.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
1999-05-14,USC00047741,1999,05,14,222.0,__0,144.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
1999-05-15,USC00047741,1999,05,15,211.0,__0,139.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
1999-05-16,USC00047741,1999,05,16,206.0,__0,122.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
1999-05-17,USC00047741,1999,05,17,228.0,__0,122.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
1999-05-18,USC00047741,1999,05,18,211.0,__0,139.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
1999-05-19,USC00047741,1999,05,19,228.0,__0,139.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
1999-05-20,USC00047741,1999,05,20,200.0,__0,150.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
1999-05-21,USC00047741,1999,05,21,200.0,__0,139.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
1999-05-22,USC00047741,1999,05,22,206.0,__0,139.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
1999-05-23,USC00047741,1999,05,23,211.0,__0,133.0,__0,0.0,P_0,0.0,P_0,0.0,P_0,nan,nan,nan,nan,nan,nan
